item_id,sample_id,task,target,choice_count,character_count,input_sha256,normalized_sha256
KUAKE-QIC:dev-10713,dev-10713,KUAKE-QIC,病情诊断,9,68,a81bf35834b54dc158cea0ad3c6b4cb55d4d30e267084a6337e3ca49d5f0d670,97f5a1e1a214a014087bb37ecd62b619d573b5dfa75eb116a2d8164ae5c19563
KUAKE-QIC:dev-10811,dev-10811,KUAKE-QIC,疾病描述,8,85,a14f74ca5ab46709d56bfe3121f653874c04ae7115a05d9e7f657b96a58c6140,8f39befce028d0802a9d15681aac945518712c45173fe52db552e52162f7e666
KUAKE-QIC:dev-10886,dev-10886,KUAKE-QIC,后果表述,11,89,d1ddfa22a1ecb29cd8470a6b0160eff4f476820ea7067fa4a8bc527bce2e697e,8d6168ac2e12f0b370fc8404338a6ca495bf85e8afb417528441911447afba51
KUAKE-QIC:dev-10969,dev-10969,KUAKE-QIC,非上述类型,8,88,32dccb70f0f4d34caf9c925790a073b617dedf0df30fee14390cc11b4bf81aff,153e64519321510683d08ef7b17c09638f3b16acdc87aa6699790e4c197f5f33
KUAKE-QIC:dev-11075,dev-11075,KUAKE-QIC,治疗方案,9,93,a1561ee8d522772b16fe1dea935465bf84bd26776afbc3130e14c85faef5f1f6,b3b1547cb73f0bfd21fafa390c08d1812a59708230da161c2674884a5042c498
KUAKE-QIC:dev-11184,dev-11184,KUAKE-QIC,就医建议,11,90,bfbcb1754468c48427f0036fab492ef861b4cf1f01ccb6ee5ec15f4183aae6e7,cc040654017ffbbca0609080b12d03bc37d643971fea35fa3c52938c5eeaac64
KUAKE-QIC:dev-11320,dev-11320,KUAKE-QIC,治疗方案,8,76,9e155c2fb3800f6e1f0f9cb726fd54d946a666c99e310fc67a9550669abbe6d1,ff8deb1b972d7c1bded4475321fea919dc47383fe66e44e3905318398ee5907e
KUAKE-QIC:dev-11352,dev-11352,KUAKE-QIC,非上述类型,11,90,8dccd67cfddcfa7e0706156dab6b072f195b7c5c72f1e85c65d17f7da9bbca84,5ac66fea1d4395b6a73c04ef9dd2aae5f999c084d068c92c49ba8a8154ed1e6f
KUAKE-QIC:dev-11516,dev-11516,KUAKE-QIC,就医建议,9,79,25c4e2e975e9aed7c7b8f4e396625f87b543d6090c5a8df3ddc5e629cf0920c5,cc63fe10bff0b242c0ffa438c40dac243ac9461397d7b3d8c96b63dd9220ed83
KUAKE-QIC:dev-11736,dev-11736,KUAKE-QIC,非上述类型,11,88,e3b1817902c6aecbb5445f175eab8ab3493a79a57f7a7fe7e21cd1da86df6eb1,c57d01ea4e3d01e9cfb3ff07457cbb8c13df558917aa59596d8e24a2ae7c155f
KUAKE-QIC:dev-11884,dev-11884,KUAKE-QIC,功效作用,11,89,61cbfb34d7d9ef0c1e2b78993bd3471092881f8d4dd856e02c90504c0259e23e,89fd7421d3febc3e33b4469cbb10d2af37ae0250511882fd0218f27e7c59003b
KUAKE-QIC:dev-11905,dev-11905,KUAKE-QIC,疾病描述,11,98,4f564e5d28d84005688ccfd4820b886df90c99f72aed385fc78cdfdc38c186d7,1faf45a47590b256ccc80ab7d396c83fb852a720ae7bb5f67e1cd56fdd211897
KUAKE-QIC:dev-1198,dev-1198,KUAKE-QIC,功效作用,11,84,5d45ba5a4a5dcd395a0fb7ba02fb29485ceddaf4817dbe9c88e14a1e34a5bfe8,dc74b7f47dc591394d092c992e463c64bed38fd1263bbc1c56aded7b4705d34c
KUAKE-QIC:dev-12042,dev-12042,KUAKE-QIC,后果表述,9,68,859dc261fb29cb3c0d070dd056fd928808e8f511bb4ec5f8564da9b944a9cf1e,c48bbd0680d964f5c5144bd3a5550cf65b17a58fd8530f178ec76350d504b1d0
KUAKE-QIC:dev-12115,dev-12115,KUAKE-QIC,非上述类型,11,79,6eae693217f7f6cc70a84bb238aedc1acc0b8ecb3e93c438c43e619d8ab373aa,0b1496e29377731856c6ab1ed0f5977ce4e179f7fd88e438714e4a671ddd1bab
KUAKE-QIC:dev-1212,dev-1212,KUAKE-QIC,功效作用,8,75,facec1eab386234af2941e8d4a654f84ecc1b1e5c20c467bb9453275ae75092d,957082affafb5e3efd18222e1c3c34e9a6faf0ce988cdb4c3274eb3eb03458a9
KUAKE-QIC:dev-12261,dev-12261,KUAKE-QIC,就医建议,8,66,2ca9b5f080c36734a84d571106ec2eb55eb500e80d13de3a5070ad61bb0fdcd1,88af09b39c549938af2554dbbe9d55a008461b2b1033b252f5a8401fa2c65518
KUAKE-QIC:dev-12282,dev-12282,KUAKE-QIC,功效作用,11,99,a8540d5db53dedc0924dfcb7e84287ca7d4972a7b64e458290d2b16d5bed2910,924d56077059baa046c3ce33f2769d42fe0a4a38c290a23014de559a9e554011
KUAKE-QIC:dev-12295,dev-12295,KUAKE-QIC,功效作用,8,79,ac45fef876a5ed9e4f63959c11c74729447627a512a7d66732f0d3d578014518,30a64a94dccb1a4ad852ab0138f93406f5e80818bfdb9a899b71dbb55042b3fa
KUAKE-QIC:dev-12296,dev-12296,KUAKE-QIC,功效作用,8,89,d99eeb5db5b405610aa65492134a2f7dd417aa6b5401aec996c0385d5ef6e080,8c10154104c4c692d8535eee2a38b239a07b730485d39b05138bcd620d06ddaa
KUAKE-QIC:dev-12344,dev-12344,KUAKE-QIC,非上述类型,9,82,db6754d8f36dbba9d53f704fa79cc87ddd4f6e6f27d1d369a43b2b4fb39c3305,8054c6414269cf9dc04d7fc07c0d5f25eeb4a133d49b207f72c46c6bb99d7fb9
KUAKE-QIC:dev-12362,dev-12362,KUAKE-QIC,后果表述,9,87,987c567b6de339b639923b37ae5b3ae0d461acc5a41ccecf6e9cbf3b4dca0c7d,d5c056f6905d0a91ec4ff978584ca17f7a644cc821fe41edff73fedf5796b3f6
KUAKE-QIC:dev-12380,dev-12380,KUAKE-QIC,功效作用,9,75,be42b5207551fda0095f5ef1b0d8327e0cef6b0613b249ce4d7b6b91a37d7487,208d18f8ac379a9bb1fccc8f22a999cea515d3932a4cecf864b816b35a06d5bb
KUAKE-QIC:dev-12575,dev-12575,KUAKE-QIC,病情诊断,9,77,bb89f576b1057ff9384f96578475b8726f07c1b53dce03be9301cf701b118202,04873aa8f296c76d5a8e37feb2d4863f45a0786695c0dfda696482c93c6d8254
KUAKE-QIC:dev-12666,dev-12666,KUAKE-QIC,功效作用,9,82,1f9481917dd057c966b62e6fff0bb4e79a2dbeb13053d92ceab1a2a17081f6fa,0cf50750d2b3c7936918b038d5be017d54e7750d9e82dad89b80b23e4666af17
KUAKE-QIC:dev-12671,dev-12671,KUAKE-QIC,功效作用,11,90,c2e890349161f0b2f19c258b05e206babb26d191c9681275ea97b6d69e233e0a,011e79bcdddd3162baee00dc0e389df58f41f989e74a161ad66601dc2a51103c
KUAKE-QIC:dev-12761,dev-12761,KUAKE-QIC,医疗费用,8,70,b5f2cc8677d717ea7233372b14b5c24f16f6fdab8ef4b691a142e4719a0fabb4,3fa331c4049ba0d96d44f973df1ddd244abb1853cfc2223bec316874c48c4126
KUAKE-QIC:dev-12835,dev-12835,KUAKE-QIC,非上述类型,9,82,73e2bf731ed8ade3815b798eb36777ab2f885b4ea0d088c063706409ef307a65,38fbff5f7f084f7c11311df7e4e63b838ba9436b2d52f72318fc720086f8c936
KUAKE-QIC:dev-12859,dev-12859,KUAKE-QIC,注意事项,8,64,02f48a27ccb2991097bbcd29c1d0895d5906eceeda01231aa0a59fc66064309b,86d1777566720bed978f2429a1e1c9c3c9ebfb47134b9032665a267bdfc69e20
KUAKE-QIC:dev-12867,dev-12867,KUAKE-QIC,注意事项,8,59,c8f5d7fb0177489548c2c057d8a6126b10ccb989bfe05331096a92a0e5b44aa7,817b45d5c6e810bd5109bd245a92ce3bd7145f5338e96c82f46c3ef34785c15b
KUAKE-QIC:dev-1289,dev-1289,KUAKE-QIC,非上述类型,11,96,0b5e521f6eac6b71d8d944269a2954630821f5022bbf937e3adf2b341f3421a1,a745983081068f3dd631d1476db3132520b223edf2aa1f4c465488e44cc12a36
KUAKE-QIC:dev-13053,dev-13053,KUAKE-QIC,功效作用,9,73,9db56a10f193dee0a97d277d2c8cac4b204eb3c319d3a38d5c83933b11a2fe33,522dc322d79b3a380c9bf5c15091aeba6fa01050a739ef9c8dd4d3103d54ae80
KUAKE-QIC:dev-13108,dev-13108,KUAKE-QIC,非上述类型,9,74,a14bda602a6842fad6b3fce00f7842f9a6869ca5679ac61a49efdd132b81bc02,5bb61ba41dbad690b60b159e212ec1ca7828128682c477546f13585afac251df
KUAKE-QIC:dev-13159,dev-13159,KUAKE-QIC,功效作用,9,74,550af68cf4a03c1181010f0d5c11d34952b828eeb86fce1bee2c23259d2931e2,d625f7b472c89efbf7bd544be0a15ded865e356d81a4e22f065aeca8c747ee28
KUAKE-QIC:dev-13202,dev-13202,KUAKE-QIC,就医建议,8,72,cd904cbaedea1711bf3d2c67da6bb32e6c725abd960728e032680301d6e9e564,602fde8be732aec435a3b90f87e9f9f2e9fc0e8ca81cfc656e58a907b11cf75f
KUAKE-QIC:dev-1333,dev-1333,KUAKE-QIC,疾病描述,11,95,80466b183f3324c246709b79e8e63eeecccbbbb9df4171df32ade6bb4eeb7425,9bf7f84a69f10b975e41527bff9208125ec71aee9621b092ea0fcb27b4fa6cb7
KUAKE-QIC:dev-1342,dev-1342,KUAKE-QIC,非上述类型,8,80,c4c8ac835bea5e9a67cc3cfd9dbff58ff098b133419f3f47fb304439428a9c77,e03b5cf49574b018ae2610b18b4264ba26165477ee6697c1b9ad5dd6c212f658
KUAKE-QIC:dev-1347,dev-1347,KUAKE-QIC,非上述类型,11,93,54ba8a5e8da9835bc4ae7e61cbbe7e2a7528e6598056ccfdc58a00e4f77dbbfd,a24432026a774d413eb2714ff238b7e080172d6c1142bd0e11ac19e24a6383fc
KUAKE-QIC:dev-13764,dev-13764,KUAKE-QIC,疾病描述,11,100,e5f36be294369feda2b96293febff9337790615791a7ee95c83ad5b70fd6b8ea,642409f393d2663edb006a11e24dc7fe6ef6aa6f7953eea8b4d3eb31fb396e91
KUAKE-QIC:dev-13922,dev-13922,KUAKE-QIC,疾病描述,9,88,c4a5d4fd6ce9ca3e192b22ac8673d71b2c5edb1bbb52dd0ef73705d97f0bf36f,d2977f12a8dba9ec2e9f3d933e583543a7229641d410f70a9a70ceb41895219c
KUAKE-QIC:dev-13959,dev-13959,KUAKE-QIC,非上述类型,8,83,f5178db81989df9483af4cafaa074305263ce11128672f6509e7c77026d17745,1225fedcdb4e704e40d58b7318040b8fcfa1ded4f13bdae48c46a6101940dfea
KUAKE-QIC:dev-13986,dev-13986,KUAKE-QIC,注意事项,11,91,2ee1cb453507e628c6f1abc3cb0069bdc072b2bb89ac2c3aa9f8fa58e52ad97e,225bab76f88756abf670ee9853af1ba3fec85f7223085f85b4587c4da3a11960
KUAKE-QIC:dev-14065,dev-14065,KUAKE-QIC,病情诊断,9,75,1b7fedb3b207e77d4d4eaa53acd0c13b9030489ab4c5ece19474ea3f6a841341,5aed9f48b88f4c17d6045be3fed70da4a36b92cac719b8ec6a813f8cf35d667f
KUAKE-QIC:dev-14098,dev-14098,KUAKE-QIC,后果表述,10,95,cfae4708a4849783f66e9098669fbb8c76136f62e78daf644cbb1f46d985b3fd,b3124b24ff71b005fc824c682046af52d9c59c73c13f0718eff5b2648442d87b
KUAKE-QIC:dev-14224,dev-14224,KUAKE-QIC,治疗方案,11,106,0e24aaa3843eb30ffe98bced5935b77b3af750bf771f4af5f223a73b563bf136,17132a0c709ca4e47332f77c434d3765666ed0975aaa3e535fa82dbddac1fa8c
KUAKE-QIC:dev-14279,dev-14279,KUAKE-QIC,非上述类型,11,84,11fe7eca7d0137ece57b4192e619230250a8e51ebb021ea2d8bc166941ad9bed,0a042e4374feaac714870a2ccfaca0beb2b3e43f6eff1b879416ed9c72defa09
KUAKE-QIC:dev-14291,dev-14291,KUAKE-QIC,注意事项,11,95,4f721a0b72d5a509d108cc6d9cc8c11050cfb9fcb6843d17f3990c1b2cee733d,9e34782c9333db26104e3e93396498178b0964aa269163f0bc8f48ff8dbb0c26
KUAKE-QIC:dev-1431,dev-1431,KUAKE-QIC,病因分析,8,63,aa958a833f58f6811922742d637c5fa17bc828cd57596a779c4587e50134139b,3a78620818a0094a7df041e73c120edaeffe550dc0fc405eafc8bc9039717317
KUAKE-QIC:dev-14314,dev-14314,KUAKE-QIC,注意事项,9,90,7a9c620b8b7ab4aa6a57f54755ed402c47385e63628aa26819d3c30895ab7b18,53813b102c2de747799e5ab8082ae426de1fd004599802632ad66d34bf035834
KUAKE-QIC:dev-14337,dev-14337,KUAKE-QIC,病情诊断,10,99,9e48f0ce9d35e6535b36bf3274849cdee4795c262057fc600237e07feb82af93,05f974ad1dc8f2ffe6f4d52e60464390c855b3d290761b55d54e2ae59530de1c
KUAKE-QIC:dev-14386,dev-14386,KUAKE-QIC,医疗费用,9,71,b03ae881ba9450294542067436554357d919d5ad708b1242e5be9c9ab75bea1a,fd3536ae73c6c281448e315e1eb910adbc96b2142f1835a4f5f47aef6c293c05
KUAKE-QIC:dev-14476,dev-14476,KUAKE-QIC,指标解读,9,71,6f4fbfad8f0bfd8698d1459507e7bbffd3b22f0aeef3a651e364d86b4bc1ebf0,2f82e9b8340497680dbe3d0a52501f80d752ed8e61fd0e5bb5ea11085fb1f746
KUAKE-QIC:dev-14480,dev-14480,KUAKE-QIC,指标解读,8,71,2a1203ca6135a023f25cda7b949d11649c99043977522f043d1fe963f1c6f1df,61c38653766c0ae8e5ff6780d8054a345cb6c58ed4f5b316c9feed02afc0c782
KUAKE-QIC:dev-14827,dev-14827,KUAKE-QIC,非上述类型,8,79,9bbf72baac6b6376775995770eedc750f85329aa6cd8addd993b1ad8fe176bfb,0d62e4dab1ce01398073cc0afd33c933e2acbba0ee0aa4ed5159a8ff72a44b83
KUAKE-QIC:dev-14920,dev-14920,KUAKE-QIC,医疗费用,8,85,807bec034ab9e9936734b004572bc7f8fca1c9c746f202af24d805198df87c0a,10f0607d6f5b9da8a292f964928e733429a444f02d44d6df86c78c8e6c21c289
KUAKE-QIC:dev-14938,dev-14938,KUAKE-QIC,病情诊断,9,75,1f3cd31675c0acec8345e08fd0f562de88d8c8648c247c86adabf888899d06be,470dae5db5ae07ded11999b8cc6f583a32d95f593c31c7874b81724f08a8f0d9
KUAKE-QIC:dev-15325,dev-15325,KUAKE-QIC,病因分析,9,82,8b9fad9a1a17a0ab27c9f05c9da003b694fa127250d444295f1928858ec4648a,0e6802ca79c888d5322d5a3f87ec6f1029b5c5b4c6e0591530c8f344a6a5f9c3
KUAKE-QIC:dev-15440,dev-15440,KUAKE-QIC,注意事项,8,78,b4adc77f39f85efd19be2e24e2d70a2f9a46c1ea2d53492a1fa64e411158dfb7,6d3699d112dddaa743ed4c44b2949021676851ae7e5715031cafd0d9790fffab
KUAKE-QIC:dev-15801,dev-15801,KUAKE-QIC,病情诊断,10,84,ed2957b785eff0d8f9cf562836d8b000a3e38a2bda49b9a1b3a2f27474d7b977,0ad3198239abc62a378928dfbcd52e9f321084b66b9e6a2a7434169b7e44485e
KUAKE-QIC:dev-15816,dev-15816,KUAKE-QIC,病情诊断,11,97,d0b705c3a04115f079c05bac0bd4fe919214e3eb9a45237a96013bb5bd4f116f,940ffc0e995416af2ec55b8175c557a853cc4e228d34e21235e14edf90f28308
KUAKE-QIC:dev-15834,dev-15834,KUAKE-QIC,后果表述,8,73,064dd3738400d7d53665ddd8b5d8cb27f3d71a486eda2ee78060cdbc8dbed46d,de37cba1c8c6ac772e8c23d1b29495c21a4f84aedc75e8bcf47bf23805d04d83
KUAKE-QIC:dev-15919,dev-15919,KUAKE-QIC,非上述类型,9,76,22b237ddbe6e643605ee3de83831dbbd452ede846f03600f879ddfb8354e183c,6731f722f1929a4284f7dc660010610566839fcdf20492760f0ba61d27e7e4a7
KUAKE-QIC:dev-15940,dev-15940,KUAKE-QIC,病情诊断,11,125,2c2504bc0342e038836f8290a2f65f8ce07c67221764fc4c88a241a2937ffaad,32551c4b12809ccfc4ccfc0c002829639ea796e70fb405335e67b0e548424a48
KUAKE-QIC:dev-16204,dev-16204,KUAKE-QIC,功效作用,9,78,6f5e42ce31cb9f28a14951e61939cf0da3f758496bc734f60e55b2219a83b87a,c1203a39b36531a0e600306dd39d928206d40ce120adafc9e376de99bfe24391
KUAKE-QIC:dev-16356,dev-16356,KUAKE-QIC,注意事项,8,76,2e3933a5ca6ff2b0d02f299699c078b7e70c00592a83cef3af707a2be21021f8,8e59f0bf5e115545dc14d6cf3f1898372a9bb846d5f85a14a5f9aa7a9443dda3
KUAKE-QIC:dev-16550,dev-16550,KUAKE-QIC,就医建议,11,88,4e3a344f846f0de705b6364eb7292c4b83f8f462978fa4f70e2f0a3fae16a1c0,36c3aa69da98ec09849ae001dedbc33cb8583dba10a06377aad33b80fd41cc97
KUAKE-QIC:dev-16554,dev-16554,KUAKE-QIC,就医建议,8,71,5b7a3dbcb7ddf74b6a0109b7dc082433276c76e5f33022edb41cb1b251d065a9,cef104d633ed241dc31d04dcf4423902584d1ac6753de08893cecf1de203b1f5
KUAKE-QIC:dev-16567,dev-16567,KUAKE-QIC,病情诊断,11,87,c65d74eeee09c5d37b5af6dc5b691704c249b5abb23b90fc9524694dcf9c2d2e,ba2e3a38ef38b6931f8c88ea5e6335233427dd8a09732b869df56b689759d275
KUAKE-QIC:dev-16768,dev-16768,KUAKE-QIC,功效作用,11,99,9abd7e47812018624ce379d5baf6f68f88e530a542e9e085f31f6fa73db261fa,8c4e1f5cf74cc51cdb72f8b5e7feec44bb6385ec7e2e507a0e46eca8d59ffeff
KUAKE-QIC:dev-16773,dev-16773,KUAKE-QIC,功效作用,8,79,cd691190e1f2dcc8ec51fafa5fb772f102a05a1e27fa0937cb5e920baae63fa2,51bd822691fedaf2b6a68588e9624b29d6163188ea2a229500c6a7bf11e754b5
KUAKE-QIC:dev-17121,dev-17121,KUAKE-QIC,医疗费用,9,70,6d1686589d4c7be2b7d520b4a77505e8b2abf8e9ec34b12c2d91138b51c9f500,b05f81daf9738afb7ad668ff6a7767c23cbf40390e9b3699f6544bb55b924efb
KUAKE-QIC:dev-17127,dev-17127,KUAKE-QIC,医疗费用,11,98,b56115bde367c0496aeaf0024ac7dfdd8121e35c5e1a5e7146220d4ce46cb994,8c3be31b0becb1e9de9d546bab6667cf1d51be3a469da368a587e092900addc0
KUAKE-QIC:dev-17161,dev-17161,KUAKE-QIC,后果表述,9,83,2885a8553d864cc5fe4e4aaf6e3f60a0a34bad67359a5ee19d511ad3d7f48f9e,48c90c5b705559467e2a96c9836a2880d59562256fb05c5af79185a623f58481
KUAKE-QIC:dev-17162,dev-17162,KUAKE-QIC,后果表述,11,86,686703e6299cad5de76b83a62cba7c59a2c3a46f5775caba0d13806c4d436c83,0ba70e78d3e78a9dd0e83d4961e29fd31a7321f76cf33571bdab88877dcb405e
KUAKE-QIC:dev-17257,dev-17257,KUAKE-QIC,治疗方案,9,87,27699ed701740f80a79dd9f59f7535e3a4be9802d30d78e2489c640635aa1455,641f5fa16814d0a57aa376675dfbe74f34997e27b5c48208c1911478a617c5ba
KUAKE-QIC:dev-17306,dev-17306,KUAKE-QIC,疾病描述,8,67,aab53f4c1b5126383a3445f8e5c730f06b451a925afe1f414e7586ef48c6a260,86ca2685d0d61535872863ba818959c565df3eaca2d7d5f36ae16282320f8b25
KUAKE-QIC:dev-1739,dev-1739,KUAKE-QIC,非上述类型,9,78,628836d2688374637e300e1b8b710ffb40c44b69f86b3f4fd027a6c45ca24599,0fa3073dc77f516a75f0d78534bcb5d640c5f3869f30813baa82fdc58065390b
KUAKE-QIC:dev-17509,dev-17509,KUAKE-QIC,功效作用,8,89,7ce72d59783e974a6bf9465b2b85a47b3d6561511d4bb3b9c62778ca0e81060f,8629e6155c113a56be314957aa085abe4b356555bf873c106847e8186968ec44
KUAKE-QIC:dev-17517,dev-17517,KUAKE-QIC,功效作用,10,103,d6d0a2e2ed15009e89a58e0bdf80a1d687119d8b6f58e0bce1ba51b8f8696a11,c6323c8f1b1279d553c5a23af00f33ce8ebc0c41fdd6f85def91c2b9d6e04cb1
KUAKE-QIC:dev-17588,dev-17588,KUAKE-QIC,病情诊断,11,92,427c24e52cf1b218729b71c7771c0576616bf092d576ce3126a03216249c5570,40b656d7d431876c142621b6df68572c4bb2b192dfe6297ad93d38609471f689
KUAKE-QIC:dev-17851,dev-17851,KUAKE-QIC,医疗费用,11,86,3862d1b42573c928efc76b33ef80ab6ff36daee3efe09820fe2097dc5279a1b3,9255bba59482519dfd1360850d9dd5cf39ca11a8146f02a6404be7899c5315cd
KUAKE-QIC:dev-17868,dev-17868,KUAKE-QIC,医疗费用,8,69,682715a1f6748cc1f96a9a47d44f813246578298e9846b2ea26684bad3d29e1e,a23841ded7ee3831ab5c6a75e691c331f4cbd80b654156651a8b65372d3b1b32
KUAKE-QIC:dev-17884,dev-17884,KUAKE-QIC,治疗方案,11,82,fe6621634a07ec276e44a2d9771c33e1b852ff4259f5fcc5cd84d8c804327526,e2902175413b846a6e81a5e6a2a4c2b158ffde512cdd8126985937f159b6eefd
KUAKE-QIC:dev-17926,dev-17926,KUAKE-QIC,就医建议,9,64,3738f1095afa01d4869a125477434130486d649bb807427424c4cc905392c703,4dea07667fda91b75ba6f85bb471f8c4eb91e6850eb59ddf4d5ae258cf30bd51
KUAKE-QIC:dev-17971,dev-17971,KUAKE-QIC,疾病描述,9,76,c4f20b2155c20817dc6d40a63bfc8360f950a0c94122929a4a2c2f65f49d2af2,b3add3a167a67d0ac367fb8db7d4706c7dea7afdfe8461948025265fc54593e2
KUAKE-QIC:dev-18003,dev-18003,KUAKE-QIC,疾病描述,11,86,fdfbaf8d5cf233f48ad188f0ec75323c16158cf736c6bc0031770da0ed19fa6b,fa3c34af98f0f5246af269f30598f0ae76c8688e8706a6a7f104cb4cd600d2ec
KUAKE-QIC:dev-18127,dev-18127,KUAKE-QIC,注意事项,9,78,0320cce434f840de02c10dc381e88f336ad4f128bbf68edf0e41edac26810fda,af335cc18d5baed5b9920b3838f1da9beb5441b0e5fe2da800a2474b8687ec72
KUAKE-QIC:dev-18243,dev-18243,KUAKE-QIC,病情诊断,11,82,0f569d555fc2b7a65818cc57a936914cf3d8abb7ec3282180dbed4454a31b34d,5c1762481cbc8e2ec0fa9c9776afb3dd4553b1baaf293c87606ac3e936970588
KUAKE-QIC:dev-18358,dev-18358,KUAKE-QIC,治疗方案,11,88,7d6ffc2ca34e42cb6202f61f594ec1543155453570c795dfaa46d8d0927af2d7,cd8fde247a3484fa6da11f586788df68982679e88d1a730d561b351671b54916
KUAKE-QIC:dev-18545,dev-18545,KUAKE-QIC,注意事项,10,83,fdaaffa17478e6e75684dc8db801ed43daed0af2afd5a62047b769428fd1022c,c8ddb9861ddc5e9ee3eb607172c757d9c1fe1f7d3638239860ca2f0077423f0e
KUAKE-QIC:dev-18559,dev-18559,KUAKE-QIC,注意事项,8,70,17b0425e0cbedb2e17638c16d9001429bab354f985628fb2f586049cd6e01796,36b93cf3015ecf105179b0cb24ee4e462956a50d3d1dff3eb5fe13dc741e3212
KUAKE-QIC:dev-18631,dev-18631,KUAKE-QIC,治疗方案,11,109,e81011fed222e950a1e3ed85b151c0fd382e2ad9b192cbe822893cd7a79c4990,a294013209aceccd5d3a19afdc4dd33c7bca29a0ad9406e26eede15aedb55871
KUAKE-QIC:dev-18675,dev-18675,KUAKE-QIC,疾病描述,11,95,67e593f23c988b9095850d6b18522089417c8fdabf5311d6836bd1383abdb413,761f1468b3f6759dc20be3e0a170d9d7fa8cf8eaf5a9aaa81d82b56d14789c21
KUAKE-QIC:dev-1876,dev-1876,KUAKE-QIC,就医建议,8,65,d0ce5924eacb5f47caddc5dcee3deae6f9f816e3dc35f564e757e4b48bdd5489,32d1adf85c14bb5bac1cd2568b7fbcf2af87c5268c55d1d881232bbe18e60655
KUAKE-QIC:dev-18906,dev-18906,KUAKE-QIC,疾病描述,8,71,a14540201ed1a76d65142f6d1531ddc3fa44691707058d8f41d053fd0891e0be,4fcdd97ae0a5a10b8fcc1a08d22d2a3a11d2a8f85acc1343cd24de2fce0965d6
KUAKE-QIC:dev-19042,dev-19042,KUAKE-QIC,病情诊断,9,81,171cb54cd9ac49c0185ee699540481010c9fb30becf1bbde3febb447c4686bae,30b057b3556391d430f4aa1ec0f671da2dc7cec6ce272dc91a5d10ef7a321c25
KUAKE-QIC:dev-19053,dev-19053,KUAKE-QIC,注意事项,11,80,c556a5708e40f485c4da498c2959aecafad5263abfa2a84ced6ee989e8485ba5,946aedc9cc42d4118ea5c344012a9d5391c804669ae356de0468aa92c799a1eb
KUAKE-QIC:dev-19144,dev-19144,KUAKE-QIC,病因分析,10,78,fcc62d1d4d851d6942ae87de3ab687f2169e70d95bc81453c6d0cf9f64c4198d,0bf7bcfccdd2fb8a7c02d82d03cf5a867051db43a5be12afb3c51a47d44fab7e
KUAKE-QIC:dev-19202,dev-19202,KUAKE-QIC,病情诊断,9,80,6e794ac93dc5d9455119e179201a23710b25d1ad248aebdd9f105db30dc37f12,5e10a87b6630c0f5a98a7873978a33369b38c3c1e4eac66a12343ae19d216d92
